ID	pLDDT_mean	pTM	ipTM	ranking_score	model_cif
WWF03116	0.91	0.93	0.93	0.949	structures/output/WWF03116/WWF03116_model.cif
WWF03120	0.87	0.81	0.81	0.893	structures/output/WWF03120/WWF03120_model.cif
WWF03123	0.78	0.82	0.82	0.883	structures/output/WWF03123/WWF03123_model.cif
WWF03125	0.83	0.81	0.81	0.872	structures/output/WWF03125/WWF03125_model.cif
WWF03127	0.89	0.86	0.86	0.901	structures/output/WWF03127/WWF03127_model.cif
WWF03129	0.8	0.79	0.79	0.895	structures/output/WWF03129/WWF03129_model.cif
WWF03130	0.86	0.83	0.83	0.879	structures/output/WWF03130/WWF03130_model.cif
WWF03131	0.93	0.9	0.9	0.897	structures/output/WWF03131/WWF03131_model.cif
WWF03137	0.73	0.74	0.74	0.826	structures/output/WWF03137/WWF03137_model.cif
WWF03139	0.83	0.85	0.85	0.896	structures/output/WWF03139/WWF03139_model.cif
WWF03143	0.79	0.75	0.75	0.79	structures/output/WWF03143/WWF03143_model.cif
WWF03144	0.79	0.81	0.81	0.856	structures/output/WWF03144/WWF03144_model.cif
WWF03148	0.87	0.88	0.88	0.923	structures/output/WWF03148/WWF03148_model.cif
WWF03152	0.87	0.86	0.86	0.921	structures/output/WWF03152/WWF03152_model.cif
WWF03153	0.66	0.51	0.51	0.74	structures/output/WWF03153/WWF03153_model.cif
WWF03154	0.94	0.92	0.92	0.947	structures/output/WWF03154/WWF03154_model.cif
WWF03155	0.8	0.81	0.81	0.882	structures/output/WWF03155/WWF03155_model.cif
WWF03156	0.81	0.81	0.81	0.87	structures/output/WWF03156/WWF03156_model.cif
WWF03157	0.8	0.69	0.69	0.765	structures/output/WWF03157/WWF03157_model.cif
WWF03159	0.78	0.81	0.81	0.886	structures/output/WWF03159/WWF03159_model.cif
WWF03162	0.92	0.91	0.91	0.909	structures/output/WWF03162/WWF03162_model.cif
WWF03166	0.76	0.8	0.8	0.859	structures/output/WWF03166/WWF03166_model.cif
WWF03169	0.72	0.7	0.7	0.802	structures/output/WWF03169/WWF03169_model.cif
WWF03178	0.84	0.79	0.79	0.908	structures/output/WWF03178/WWF03178_model.cif
WWF03179	0.88	0.86	0.86	0.93	structures/output/WWF03179/WWF03179_model.cif
WWF03181	0.83	0.85	0.85	0.91	structures/output/WWF03181/WWF03181_model.cif
WWF03186	0.9	0.86	0.86	0.905	structures/output/WWF03186/WWF03186_model.cif
WWF03189	0.89	0.86	0.86	0.884	structures/output/WWF03189/WWF03189_model.cif
WWF03191	0.84	0.86	0.86	0.914	structures/output/WWF03191/WWF03191_model.cif
WWF03192	0.93	0.94	0.94	0.955	structures/output/WWF03192/WWF03192_model.cif
WWF03194	0.81	0.82	0.82	0.902	structures/output/WWF03194/WWF03194_model.cif
WWF03195	0.88	0.85	0.85	0.892	structures/output/WWF03195/WWF03195_model.cif
WWF03204	0.83	0.81	0.81	0.875	structures/output/WWF03204/WWF03204_model.cif
WWF03205	0.83	0.79	0.79	0.883	structures/output/WWF03205/WWF03205_model.cif
WWF03208	0.87	0.88	0.88	0.934	structures/output/WWF03208/WWF03208_model.cif
WWF03212	0.9	0.9	0.9	0.939	structures/output/WWF03212/WWF03212_model.cif
WWF03216	0.83	0.83	0.83	0.905	structures/output/WWF03216/WWF03216_model.cif
WWF03218	0.84	0.84	0.84	0.895	structures/output/WWF03218/WWF03218_model.cif
WWF03219	0.92	0.93	0.93	0.934	structures/output/WWF03219/WWF03219_model.cif
WWF03223	0.81	0.77	0.77	0.862	structures/output/WWF03223/WWF03223_model.cif
WWF03227	0.8	0.81	0.81	0.886	structures/output/WWF03227/WWF03227_model.cif
WWF03233	0.83	0.81	0.81	0.858	structures/output/WWF03233/WWF03233_model.cif
WWF03234	0.75	0.49	0.49	0.497	structures/output/WWF03234/WWF03234_model.cif
WWF03235	0.76	0.82	0.82	0.899	structures/output/WWF03235/WWF03235_model.cif
WWF03237	0.77	0.73	0.73	0.868	structures/output/WWF03237/WWF03237_model.cif
WWF03243	0.64	0.61	0.61	0.703	structures/output/WWF03243/WWF03243_model.cif
WWF03245	0.86	0.88	0.88	0.913	structures/output/WWF03245/WWF03245_model.cif
WWF03248	0.83	0.82	0.82	0.899	structures/output/WWF03248/WWF03248_model.cif
WWF03255	0.83	0.74	0.74	0.766	structures/output/WWF03255/WWF03255_model.cif
WWF03258	0.85	0.85	0.85	0.901	structures/output/WWF03258/WWF03258_model.cif
WWF03273	0.8	0.56	0.56	0.613	structures/output/WWF03273/WWF03273_model.cif
WWF03275	0.89	0.88	0.88	0.919	structures/output/WWF03275/WWF03275_model.cif
WWF03284	0.9	0.92	0.92	0.946	structures/output/WWF03284/WWF03284_model.cif
WWF03296	0.81	0.79	0.79	0.838	structures/output/WWF03296/WWF03296_model.cif
WWF03297	0.85	0.87	0.87	0.919	structures/output/WWF03297/WWF03297_model.cif
WWF03300	0.88	0.83	0.83	0.898	structures/output/WWF03300/WWF03300_model.cif
WWF03303	0.87	0.84	0.84	0.909	structures/output/WWF03303/WWF03303_model.cif
WWF03304	0.76	0.81	0.81	0.889	structures/output/WWF03304/WWF03304_model.cif
WWF03306	0.89	0.89	0.89	0.923	structures/output/WWF03306/WWF03306_model.cif
WWF03310	0.87	0.86	0.86	0.921	structures/output/WWF03310/WWF03310_model.cif
WWF03313	0.83	0.79	0.79	0.903	structures/output/WWF03313/WWF03313_model.cif
WWF03316	0.81	0.8	0.8	0.891	structures/output/WWF03316/WWF03316_model.cif
WWF03318	0.87	0.82	0.82	0.867	structures/output/WWF03318/WWF03318_model.cif
WWF03321	0.86	0.85	0.85	0.925	structures/output/WWF03321/WWF03321_model.cif
WWF03325	0.88	0.86	0.86	0.921	structures/output/WWF03325/WWF03325_model.cif
WWF03331	0.74	0.74	0.74	0.807	structures/output/WWF03331/WWF03331_model.cif
WWF03334	0.84	0.81	0.81	0.887	structures/output/WWF03334/WWF03334_model.cif
WWF03335	0.87	0.85	0.85	0.913	structures/output/WWF03335/WWF03335_model.cif
WWF03340	0.83	0.78	0.78	0.866	structures/output/WWF03340/WWF03340_model.cif
WWF03343	0.79	0.69	0.69	0.795	structures/output/WWF03343/WWF03343_model.cif
WWF03352	0.89	0.87	0.87	0.921	structures/output/WWF03352/WWF03352_model.cif
WWF03353	0.88	0.87	0.87	0.906	structures/output/WWF03353/WWF03353_model.cif
WWF03354	0.82	0.85	0.85	0.884	structures/output/WWF03354/WWF03354_model.cif
WWF03355	0.76	0.78	0.78	0.825	structures/output/WWF03355/WWF03355_model.cif
WWF03356	0.75	0.7	0.7	0.747	structures/output/WWF03356/WWF03356_model.cif
WWF03357	0.77	0.76	0.76	0.812	structures/output/WWF03357/WWF03357_model.cif
WWF03358	0.82	0.78	0.78	0.892	structures/output/WWF03358/WWF03358_model.cif
WWF03359	0.83	0.69	0.69	0.718	structures/output/WWF03359/WWF03359_model.cif
WWF03360	0.85	0.87	0.87	0.92	structures/output/WWF03360/WWF03360_model.cif
WWF03367	0.83	0.79	0.79	0.83	structures/output/WWF03367/WWF03367_model.cif
WWF03369	0.93	0.93	0.93	0.945	structures/output/WWF03369/WWF03369_model.cif
WWF03373	0.89	0.9	0.9	0.955	structures/output/WWF03373/WWF03373_model.cif
WWF03374	0.9	0.9	0.9	0.928	structures/output/WWF03374/WWF03374_model.cif
WWF03377	0.84	0.88	0.88	0.889	structures/output/WWF03377/WWF03377_model.cif
WWF03384	0.7	0.74	0.74	0.794	structures/output/WWF03384/WWF03384_model.cif
WWF03386	0.72	0.76	0.76	0.85	structures/output/WWF03386/WWF03386_model.cif
WWF03387	0.86	0.9	0.9	0.899	structures/output/WWF03387/WWF03387_model.cif
WWF03388	0.86	0.88	0.88	0.924	structures/output/WWF03388/WWF03388_model.cif
WWF03389	0.8	0.78	0.78	0.799	structures/output/WWF03389/WWF03389_model.cif
WWF03395	0.84	0.68	0.68	0.714	structures/output/WWF03395/WWF03395_model.cif
WWF03399	0.86	0.85	0.85	0.903	structures/output/WWF03399/WWF03399_model.cif
WWF03403	0.83	0.81	0.81	0.861	structures/output/WWF03403/WWF03403_model.cif
WWF03407	0.86	0.87	0.87	0.886	structures/output/WWF03407/WWF03407_model.cif
WWF03411	0.76	0.7	0.7	0.779	structures/output/WWF03411/WWF03411_model.cif
WWF03412	0.83	0.86	0.86	0.908	structures/output/WWF03412/WWF03412_model.cif
WWF03413	0.87	0.83	0.83	0.913	structures/output/WWF03413/WWF03413_model.cif
WWF03417	0.92	0.82	0.82	0.887	structures/output/WWF03417/WWF03417_model.cif
WWF03421	0.83	0.83	0.83	0.89	structures/output/WWF03421/WWF03421_model.cif
WWF03424	0.8	0.64	0.64	0.666	structures/output/WWF03424/WWF03424_model.cif
WWF03428	0.89	0.81	0.81	0.807	structures/output/WWF03428/WWF03428_model.cif
WWF03430	0.88	0.86	0.86	0.908	structures/output/WWF03430/WWF03430_model.cif
WWF03436	0.82	0.71	0.71	0.786	structures/output/WWF03436/WWF03436_model.cif
WWF03438	0.82	0.68	0.68	0.726	structures/output/WWF03438/WWF03438_model.cif
WWF03441	0.87	0.87	0.87	0.897	structures/output/WWF03441/WWF03441_model.cif
WWF03447	0.8	0.78	0.78	0.85	structures/output/WWF03447/WWF03447_model.cif
WWF03448	0.81	0.76	0.76	0.807	structures/output/WWF03448/WWF03448_model.cif
WWF03449	0.8	0.67	0.67	0.681	structures/output/WWF03449/WWF03449_model.cif
WWF03451	0.81	0.86	0.86	0.871	structures/output/WWF03451/WWF03451_model.cif
WWF03452	0.74	0.68	0.68	0.746	structures/output/WWF03452/WWF03452_model.cif
WWF03453	0.88	0.88	0.88	0.932	structures/output/WWF03453/WWF03453_model.cif
WWF03456	0.81	0.83	0.83	0.896	structures/output/WWF03456/WWF03456_model.cif
WWF03462	0.84	0.87	0.87	0.885	structures/output/WWF03462/WWF03462_model.cif
WWF03466	0.85	0.81	0.81	0.846	structures/output/WWF03466/WWF03466_model.cif
WWF03469	0.83	0.87	0.87	0.917	structures/output/WWF03469/WWF03469_model.cif
WWF03471	0.85	0.82	0.82	0.849	structures/output/WWF03471/WWF03471_model.cif
WWF03472	0.73	0.68	0.68	0.744	structures/output/WWF03472/WWF03472_model.cif
WWF03475	0.79	0.8	0.8	0.885	structures/output/WWF03475/WWF03475_model.cif
WWF03478	0.81	0.8	0.8	0.899	structures/output/WWF03478/WWF03478_model.cif
WWF03483	0.86	0.83	0.83	0.88	structures/output/WWF03483/WWF03483_model.cif
WWF03485	0.86	0.85	0.85	0.849	structures/output/WWF03485/WWF03485_model.cif
WWF03486	0.89	0.9	0.9	0.904	structures/output/WWF03486/WWF03486_model.cif
WWF03489	0.79	0.64	0.64	0.709	structures/output/WWF03489/WWF03489_model.cif
WWF03492	0.92	0.9	0.9	0.958	structures/output/WWF03492/WWF03492_model.cif
WWF03493	0.89	0.86	0.86	0.897	structures/output/WWF03493/WWF03493_model.cif
WWF03502	0.83	0.88	0.88	0.88	structures/output/WWF03502/WWF03502_model.cif
WWF03503	0.84	0.85	0.85	0.907	structures/output/WWF03503/WWF03503_model.cif
WWF03505	0.87	0.83	0.83	0.898	structures/output/WWF03505/WWF03505_model.cif
WWF03506	0.88	0.89	0.89	0.925	structures/output/WWF03506/WWF03506_model.cif
WWF03511	0.76	0.54	0.54	0.67	structures/output/WWF03511/WWF03511_model.cif
WWF03514	0.9	0.9	0.9	0.907	structures/output/WWF03514/WWF03514_model.cif
WWF03516	0.81	0.74	0.74	0.823	structures/output/WWF03516/WWF03516_model.cif
WWF03526	0.87	0.67	0.67	0.799	structures/output/WWF03526/WWF03526_model.cif
WWF03528	0.85	0.84	0.84	0.894	structures/output/WWF03528/WWF03528_model.cif
WWF03535	0.87	0.85	0.85	0.92	structures/output/WWF03535/WWF03535_model.cif
WWF03537	0.88	0.88	0.88	0.935	structures/output/WWF03537/WWF03537_model.cif
WWF03541	0.88	0.87	0.87	0.944	structures/output/WWF03541/WWF03541_model.cif
WWF03544	0.8	0.68	0.68	0.884	structures/output/WWF03544/WWF03544_model.cif
WWF03546	0.83	0.83	0.83	0.895	structures/output/WWF03546/WWF03546_model.cif
WWF03554	0.85	0.84	0.84	0.865	structures/output/WWF03554/WWF03554_model.cif
WWF03559	0.84	0.83	0.83	0.875	structures/output/WWF03559/WWF03559_model.cif
WWF03561	0.83	0.82	0.82	0.848	structures/output/WWF03561/WWF03561_model.cif
WWF03565	0.82	0.79	0.79	0.887	structures/output/WWF03565/WWF03565_model.cif
WWF03567	0.91	0.91	0.91	0.945	structures/output/WWF03567/WWF03567_model.cif
WWF03570	0.85	0.84	0.84	0.913	structures/output/WWF03570/WWF03570_model.cif
WWF03573	0.8	0.65	0.65	0.702	structures/output/WWF03573/WWF03573_model.cif
WWF03576	0.82	0.75	0.75	0.837	structures/output/WWF03576/WWF03576_model.cif
WWF03582	0.92	0.93	0.93	0.958	structures/output/WWF03582/WWF03582_model.cif
WWF03585	0.82	0.85	0.85	0.907	structures/output/WWF03585/WWF03585_model.cif
WWF03587	0.91	0.91	0.91	0.926	structures/output/WWF03587/WWF03587_model.cif
WWF03590	0.77	0.7	0.7	0.766	structures/output/WWF03590/WWF03590_model.cif
WWF03591	0.81	0.67	0.67	0.731	structures/output/WWF03591/WWF03591_model.cif
WWF03597	0.89	0.88	0.88	0.906	structures/output/WWF03597/WWF03597_model.cif
WWF03598	0.82	0.8	0.8	0.905	structures/output/WWF03598/WWF03598_model.cif
WWF03600	0.86	0.83	0.83	0.902	structures/output/WWF03600/WWF03600_model.cif
WWF03603	0.79	0.75	0.75	0.891	structures/output/WWF03603/WWF03603_model.cif
WWF03610	0.82	0.85	0.85	0.901	structures/output/WWF03610/WWF03610_model.cif
WWF03618	0.78	0.53	0.53	0.766	structures/output/WWF03618/WWF03618_model.cif
WWF03622	0.86	0.88	0.88	0.915	structures/output/WWF03622/WWF03622_model.cif
WWF03625	0.81	0.81	0.81	0.891	structures/output/WWF03625/WWF03625_model.cif
WWF03628	0.8	0.7	0.7	0.787	structures/output/WWF03628/WWF03628_model.cif
WWF03635	0.87	0.87	0.87	0.942	structures/output/WWF03635/WWF03635_model.cif
WWF03636	0.78	0.84	0.84	0.859	structures/output/WWF03636/WWF03636_model.cif
WWF03637	0.85	0.83	0.83	0.889	structures/output/WWF03637/WWF03637_model.cif
WWF03639	0.95	0.95	0.95	0.948	structures/output/WWF03639/WWF03639_model.cif
WWF03640	0.85	0.88	0.88	0.902	structures/output/WWF03640/WWF03640_model.cif
WWF03641	0.87	0.88	0.88	0.912	structures/output/WWF03641/WWF03641_model.cif
WWF03644	0.84	0.84	0.84	0.921	structures/output/WWF03644/WWF03644_model.cif
WWF03646	0.9	0.9	0.9	0.938	structures/output/WWF03646/WWF03646_model.cif
WWF03654	0.82	0.83	0.83	0.878	structures/output/WWF03654/WWF03654_model.cif
WWF03656	0.72	0.63	0.63	0.759	structures/output/WWF03656/WWF03656_model.cif
WWF03657	0.89	0.86	0.86	0.892	structures/output/WWF03657/WWF03657_model.cif
WWF03661	0.89	0.89	0.89	0.934	structures/output/WWF03661/WWF03661_model.cif
WWF03668	0.83	0.77	0.77	0.793	structures/output/WWF03668/WWF03668_model.cif
WWF03670	0.78	0.76	0.76	0.83	structures/output/WWF03670/WWF03670_model.cif
WWF03672	0.85	0.86	0.86	0.911	structures/output/WWF03672/WWF03672_model.cif
WWF03673	0.84	0.82	0.82	0.881	structures/output/WWF03673/WWF03673_model.cif
WWF03674	0.84	0.84	0.84	0.878	structures/output/WWF03674/WWF03674_model.cif
WWF03680	0.76	0.77	0.77	0.836	structures/output/WWF03680/WWF03680_model.cif
WWF03683	0.8	0.82	0.82	0.899	structures/output/WWF03683/WWF03683_model.cif
WWF03686	0.92	0.94	0.94	0.964	structures/output/WWF03686/WWF03686_model.cif
WWF03693	0.86	0.8	0.8	0.843	structures/output/WWF03693/WWF03693_model.cif
WWF03700	0.93	0.9	0.9	0.899	structures/output/WWF03700/WWF03700_model.cif
WWF03701	0.86	0.86	0.86	0.9	structures/output/WWF03701/WWF03701_model.cif
WWF03702	0.88	0.86	0.86	0.898	structures/output/WWF03702/WWF03702_model.cif
WWF03704	0.9	0.92	0.92	0.951	structures/output/WWF03704/WWF03704_model.cif
WWF03711	0.88	0.83	0.83	0.831	structures/output/WWF03711/WWF03711_model.cif
WWF03713	0.83	0.85	0.85	0.887	structures/output/WWF03713/WWF03713_model.cif
WWF03715	0.87	0.86	0.86	0.897	structures/output/WWF03715/WWF03715_model.cif
WWF03716	0.87	0.7	0.7	0.818	structures/output/WWF03716/WWF03716_model.cif
WWF03717	0.84	0.85	0.85	0.892	structures/output/WWF03717/WWF03717_model.cif
WWF03719	0.82	0.83	0.83	0.881	structures/output/WWF03719/WWF03719_model.cif
WWF03721	0.82	0.67	0.67	0.726	structures/output/WWF03721/WWF03721_model.cif
WWF03724	0.86	0.84	0.84	0.922	structures/output/WWF03724/WWF03724_model.cif
WWF03730	0.78	0.7	0.7	0.813	structures/output/WWF03730/WWF03730_model.cif
WWF03733	0.91	0.9	0.9	0.941	structures/output/WWF03733/WWF03733_model.cif
WWF03735	0.84	0.81	0.81	0.87	structures/output/WWF03735/WWF03735_model.cif
WWF03736	0.8	0.62	0.62	0.807	structures/output/WWF03736/WWF03736_model.cif
WWF03741	0.81	0.81	0.81	0.892	structures/output/WWF03741/WWF03741_model.cif
WWF03745	0.74	0.65	0.65	0.747	structures/output/WWF03745/WWF03745_model.cif
WWF03747	0.86	0.87	0.87	0.907	structures/output/WWF03747/WWF03747_model.cif
WWF03749	0.82	0.81	0.81	0.876	structures/output/WWF03749/WWF03749_model.cif
WWF03754	0.89	0.9	0.9	0.913	structures/output/WWF03754/WWF03754_model.cif
WWF03759	0.87	0.83	0.83	0.856	structures/output/WWF03759/WWF03759_model.cif
WWF03764	0.92	0.84	0.84	0.84	structures/output/WWF03764/WWF03764_model.cif
WWF03776	0.77	0.63	0.63	0.812	structures/output/WWF03776/WWF03776_model.cif
WWF03783	0.83	0.81	0.81	0.808	structures/output/WWF03783/WWF03783_model.cif
WWF03796	0.84	0.82	0.82	0.859	structures/output/WWF03796/WWF03796_model.cif
WWF03803	0.85	0.83	0.83	0.901	structures/output/WWF03803/WWF03803_model.cif
WWF03807	0.86	0.85	0.85	0.903	structures/output/WWF03807/WWF03807_model.cif
WWF03812	0.85	0.83	0.83	0.9	structures/output/WWF03812/WWF03812_model.cif
WWF03813	0.8	0.79	0.79	0.875	structures/output/WWF03813/WWF03813_model.cif
WWF03817	0.85	0.72	0.72	0.724	structures/output/WWF03817/WWF03817_model.cif
WWF03825	0.8	0.75	0.75	0.806	structures/output/WWF03825/WWF03825_model.cif
WWF03828	0.83	0.81	0.81	0.873	structures/output/WWF03828/WWF03828_model.cif
WWF03831	0.79	0.63	0.63	0.661	structures/output/WWF03831/WWF03831_model.cif
WWF03834	0.75	0.58	0.58	0.838	structures/output/WWF03834/WWF03834_model.cif
WWF03836	0.88	0.88	0.88	0.924	structures/output/WWF03836/WWF03836_model.cif
WWF03846	0.88	0.88	0.88	0.925	structures/output/WWF03846/WWF03846_model.cif
WWF03851	0.85	0.81	0.81	0.825	structures/output/WWF03851/WWF03851_model.cif
WWF03862	0.89	0.88	0.88	0.947	structures/output/WWF03862/WWF03862_model.cif
WWF03871	0.82	0.83	0.83	0.892	structures/output/WWF03871/WWF03871_model.cif
WWF03872	0.83	0.81	0.81	0.875	structures/output/WWF03872/WWF03872_model.cif
WWF03877	0.83	0.81	0.81	0.887	structures/output/WWF03877/WWF03877_model.cif
WWF03880	0.87	0.87	0.87	0.902	structures/output/WWF03880/WWF03880_model.cif
WWF03881	0.83	0.75	0.75	0.785	structures/output/WWF03881/WWF03881_model.cif
WWF03882	0.93	0.94	0.94	0.946	structures/output/WWF03882/WWF03882_model.cif
WWF03883	0.86	0.9	0.9	0.897	structures/output/WWF03883/WWF03883_model.cif
WWF03884	0.83	0.81	0.81	0.857	structures/output/WWF03884/WWF03884_model.cif
WWF03890	0.84	0.65	0.65	0.703	structures/output/WWF03890/WWF03890_model.cif
WWF03891	0.86	0.86	0.86	0.892	structures/output/WWF03891/WWF03891_model.cif
WWF03900	0.87	0.85	0.85	0.927	structures/output/WWF03900/WWF03900_model.cif
WWF03904	0.83	0.8	0.8	0.876	structures/output/WWF03904/WWF03904_model.cif
WWF03912	0.82	0.83	0.83	0.882	structures/output/WWF03912/WWF03912_model.cif
WWF03914	0.9	0.83	0.83	0.828	structures/output/WWF03914/WWF03914_model.cif
WWF03916	0.82	0.7	0.7	0.748	structures/output/WWF03916/WWF03916_model.cif
WWF03923	0.85	0.88	0.88	0.918	structures/output/WWF03923/WWF03923_model.cif
WWF03926	0.86	0.85	0.85	0.9	structures/output/WWF03926/WWF03926_model.cif
WWF03928	0.88	0.88	0.88	0.922	structures/output/WWF03928/WWF03928_model.cif
WWF03933	0.79	0.8	0.8	0.868	structures/output/WWF03933/WWF03933_model.cif
WWF03940	0.79	0.58	0.58	0.698	structures/output/WWF03940/WWF03940_model.cif
WWF03943	0.87	0.88	0.88	0.922	structures/output/WWF03943/WWF03943_model.cif
WWF03949	0.9	0.9	0.9	0.904	structures/output/WWF03949/WWF03949_model.cif
WWF03952	0.81	0.8	0.8	0.842	structures/output/WWF03952/WWF03952_model.cif
WWF03954	0.75	0.73	0.73	0.845	structures/output/WWF03954/WWF03954_model.cif
WWF03957	0.81	0.85	0.85	0.873	structures/output/WWF03957/WWF03957_model.cif
WWF03959	0.85	0.8	0.8	0.867	structures/output/WWF03959/WWF03959_model.cif
WWF03960	0.85	0.87	0.87	0.896	structures/output/WWF03960/WWF03960_model.cif
WWF03961	0.84	0.83	0.83	0.909	structures/output/WWF03961/WWF03961_model.cif
WWF03965	0.71	0.72	0.72	0.818	structures/output/WWF03965/WWF03965_model.cif
WWF03967	0.88	0.89	0.89	0.911	structures/output/WWF03967/WWF03967_model.cif
WWF03969	0.84	0.76	0.76	0.821	structures/output/WWF03969/WWF03969_model.cif
WWF03973	0.82	0.77	0.77	0.869	structures/output/WWF03973/WWF03973_model.cif
WWF03974	0.68	0.49	0.49	0.756	structures/output/WWF03974/WWF03974_model.cif
WWF03975	0.85	0.85	0.85	0.902	structures/output/WWF03975/WWF03975_model.cif
WWF03979	0.86	0.84	0.84	0.906	structures/output/WWF03979/WWF03979_model.cif
WWF03982	0.9	0.91	0.91	0.94	structures/output/WWF03982/WWF03982_model.cif
WWF03996	0.84	0.85	0.85	0.907	structures/output/WWF03996/WWF03996_model.cif
WWF03998	0.86	0.83	0.83	0.905	structures/output/WWF03998/WWF03998_model.cif
WWF04005	0.89	0.84	0.84	0.904	structures/output/WWF04005/WWF04005_model.cif
WWF04007	0.87	0.89	0.89	0.92	structures/output/WWF04007/WWF04007_model.cif
WWF04008	0.76	0.77	0.77	0.851	structures/output/WWF04008/WWF04008_model.cif
WWF04011	0.77	0.77	0.77	0.86	structures/output/WWF04011/WWF04011_model.cif
WWF04013	0.83	0.81	0.81	0.894	structures/output/WWF04013/WWF04013_model.cif
WWF04016	0.78	0.75	0.75	0.805	structures/output/WWF04016/WWF04016_model.cif
WWF04018	0.83	0.86	0.86	0.909	structures/output/WWF04018/WWF04018_model.cif
WWF04021	0.87	0.84	0.84	0.913	structures/output/WWF04021/WWF04021_model.cif
WWF04025	0.85	0.85	0.85	0.894	structures/output/WWF04025/WWF04025_model.cif
WWF04027	0.85	0.6	0.6	0.653	structures/output/WWF04027/WWF04027_model.cif
WWF04032	0.8	0.85	0.85	0.897	structures/output/WWF04032/WWF04032_model.cif
WWF04034	0.85	0.85	0.85	0.904	structures/output/WWF04034/WWF04034_model.cif
WWF04036	0.8	0.81	0.81	0.855	structures/output/WWF04036/WWF04036_model.cif
WWF04038	0.91	0.91	0.91	0.927	structures/output/WWF04038/WWF04038_model.cif
WWF04047	0.74	0.55	0.55	0.73	structures/output/WWF04047/WWF04047_model.cif
WWF04048	0.8	0.64	0.64	0.687	structures/output/WWF04048/WWF04048_model.cif
WWF04052	0.86	0.78	0.78	0.881	structures/output/WWF04052/WWF04052_model.cif
WWF04059	0.88	0.92	0.92	0.918	structures/output/WWF04059/WWF04059_model.cif
WWF04062	0.81	0.81	0.81	0.885	structures/output/WWF04062/WWF04062_model.cif
WWF04065	0.82	0.82	0.82	0.904	structures/output/WWF04065/WWF04065_model.cif
WWF04069	0.8	0.77	0.77	0.829	structures/output/WWF04069/WWF04069_model.cif
WWF04082	0.77	0.72	0.72	0.777	structures/output/WWF04082/WWF04082_model.cif
WWF04083	0.85	0.82	0.82	0.895	structures/output/WWF04083/WWF04083_model.cif
WWF04085	0.79	0.76	0.76	0.832	structures/output/WWF04085/WWF04085_model.cif
WWF04088	0.85	0.69	0.69	0.73	structures/output/WWF04088/WWF04088_model.cif
WWF04089	0.88	0.87	0.87	0.917	structures/output/WWF04089/WWF04089_model.cif
WWF04093	0.83	0.81	0.81	0.886	structures/output/WWF04093/WWF04093_model.cif
WWF04095	0.83	0.82	0.82	0.898	structures/output/WWF04095/WWF04095_model.cif
WWF04096	0.77	0.64	0.64	0.802	structures/output/WWF04096/WWF04096_model.cif
WWF04097	0.79	0.78	0.78	0.855	structures/output/WWF04097/WWF04097_model.cif
WWF04100	0.83	0.77	0.77	0.868	structures/output/WWF04100/WWF04100_model.cif
WWF04103	0.87	0.87	0.87	0.916	structures/output/WWF04103/WWF04103_model.cif
WWF04105	0.82	0.82	0.82	0.913	structures/output/WWF04105/WWF04105_model.cif
WWF04108	0.83	0.83	0.83	0.904	structures/output/WWF04108/WWF04108_model.cif
WWF04134	0.84	0.79	0.79	0.836	structures/output/WWF04134/WWF04134_model.cif
WWF04140	0.9	0.89	0.89	0.913	structures/output/WWF04140/WWF04140_model.cif
WWF04143	0.85	0.85	0.85	0.901	structures/output/WWF04143/WWF04143_model.cif
WWF04150	0.85	0.85	0.85	0.913	structures/output/WWF04150/WWF04150_model.cif
WWF04152	0.78	0.77	0.77	0.838	structures/output/WWF04152/WWF04152_model.cif
WWF04153	0.84	0.82	0.82	0.903	structures/output/WWF04153/WWF04153_model.cif
WWF04165	0.84	0.69	0.69	0.743	structures/output/WWF04165/WWF04165_model.cif
WWF04168	0.84	0.87	0.87	0.918	structures/output/WWF04168/WWF04168_model.cif
WWF04173	0.85	0.85	0.85	0.923	structures/output/WWF04173/WWF04173_model.cif
WWF04178	0.8	0.82	0.82	0.883	structures/output/WWF04178/WWF04178_model.cif
WWF04182	0.86	0.84	0.84	0.879	structures/output/WWF04182/WWF04182_model.cif
WWF04186	0.88	0.86	0.86	0.901	structures/output/WWF04186/WWF04186_model.cif
WWF04189	0.81	0.84	0.84	0.895	structures/output/WWF04189/WWF04189_model.cif
WWF04193	0.87	0.83	0.83	0.911	structures/output/WWF04193/WWF04193_model.cif
WWF04195	0.93	0.85	0.85	0.852	structures/output/WWF04195/WWF04195_model.cif
WWF04198	0.81	0.72	0.72	0.804	structures/output/WWF04198/WWF04198_model.cif
WWF04203	0.74	0.61	0.61	0.738	structures/output/WWF04203/WWF04203_model.cif
WWF04206	0.84	0.81	0.81	0.89	structures/output/WWF04206/WWF04206_model.cif
WWF04207	0.83	0.86	0.86	0.891	structures/output/WWF04207/WWF04207_model.cif
WWF04209	0.81	0.82	0.82	0.906	structures/output/WWF04209/WWF04209_model.cif
WWF04212	0.85	0.86	0.86	0.911	structures/output/WWF04212/WWF04212_model.cif
WWF04213	0.77	0.78	0.78	0.898	structures/output/WWF04213/WWF04213_model.cif
WWF04218	0.83	0.86	0.86	0.891	structures/output/WWF04218/WWF04218_model.cif
WWF04223	0.88	0.87	0.87	0.934	structures/output/WWF04223/WWF04223_model.cif
WWF04224	0.83	0.81	0.81	0.861	structures/output/WWF04224/WWF04224_model.cif
